8,,,,,,,,
CoastalBlue,continuous,,,,,,,
Blue,continuous,,,,,,,
Green,continuous,,,,,,,
Yellow,continuous,,,,,,,
Red,continuous,,,,,,,
RedEdge,continuous,,,,,,,
NI_1,continuous,,,,,,,
NI_2,continuous,,,,,,,
Ans,Black_Ash,White_Ash,Surface,Tree,,,,
309.1226994,284.3865031,366.8588957,418.0613497,298.0797546,471.7484663,397.392638,389.8895706,Tree
313.2857143,299.0285714,418.3714286,508.5142857,367.5142857,573.8285714,468.9428571,441.8,Tree
313.7083333,291.3333333,377.75,442.75,314.8125,494.8333333,411.6458333,404.8541667,Tree
312.9473684,295.2894737,404,473.6315789,338.9605263,525.1710526,428.1578947,406.4473684,Tree
295.04,264.02,341.16,399.34,287.96,451.98,381.08,374.12,Tree
294.6923077,265.9423077,341.1730769,390.3846154,276.5384615,432.7115385,361.7115385,354.7884615,Tree
299.4285714,273.5238095,360.8095238,420.9047619,310.1904762,504.6666667,442.3809524,446.3333333,Tree
302.744186,283.2093023,384.5581395,453.1395349,333.5116279,549.6511628,492.1627907,500.6744186,Tree
303.6320755,287.0188679,393.1792453,469.5660377,349.4811321,578.1698113,510.4150943,521.1981132,Tree
292.5555556,249.2888889,276.1555556,261.8222222,166.9555556,253.2444444,208.6666667,212.2222222,Black_Ash
274.1111111,224.1481481,223.4444444,196.5555556,118.6296296,172.2222222,138.2222222,141.6666667,Black_Ash
267.0606061,211.3030303,199.030303,161.5454545,91.03030303,122.5757576,89.15151515,87.87878788,Black_Ash
282,231,241.6,215.2,132.4,189.8,150.8,152.2,Black_Ash
275.4117647,223.9411765,225.8235294,197.1176471,116.9411765,174.3529412,140.0588235,140.0588235,Black_Ash
280,227.1428571,225.8571429,199,115.8571429,168.1428571,128.1428571,128.8571429,Black_Ash
293.72,252.68,282.62,272.86,175.26,263.56,216.16,219.2,Black_Ash
271.6923077,217.1538462,209.1153846,175.3653846,100.6923077,137.9038462,102.4038462,100.0769231,Black_Ash
269.7954545,213.6590909,203.3636364,167.0227273,94.68181818,128.8863636,93.93181818,91.13636364,Black_Ash
270.4897959,214.8163265,204.7346939,170.1428571,97.24489796,131.7755102,97.08163265,97.08163265,Black_Ash
272.5,217.7058824,212.3823529,179.6470588,105.3529412,146.6176471,112.0588235,111.7941176,Black_Ash
272.8888889,220.2222222,215.1666667,184.6666667,109.0555556,153.0555556,117.4444444,117.6666667,Black_Ash
263.3333333,203.2,184.2666667,142.6,76.46666667,100.9333333,68.2,67.46666667,Black_Ash
330.75,304.5,380,389.25,260.5,409,353.25,360,White_Ash
339.4,321.6,406.2,422,281.6,434.4,372,373.2,White_Ash
336.5,312.3636364,388.1363636,395.5909091,263,406.8636364,344.9545455,347.4545455,White_Ash
330.6666667,326.2222222,452.5555556,505.1111111,354.2222222,533.3333333,443.1111111,407.8888889,Tree
327.3793103,297.7586207,353.4137931,348.7586207,228.137931,335.6206897,273.6896552,276.1034483,White_Ash
351.5454545,336.0454545,432.0454545,448.1818182,303.25,457.6818182,382.4772727,383,White_Ash
352.9761905,334.202381,417.0357143,418.3452381,275.3928571,420.9047619,349.2857143,348.9880952,White_Ash
342.85,322.9,402.15,405.8,271.15,427.05,364,367.2,White_Ash
351.5909091,334.7954545,426,429.2272727,281.2954545,457.75,386.8181818,383.1136364,White_Ash
277.7142857,229.2857143,299.1428571,252,136,596.4285714,718.1428571,695.8571429,Surface
273.9,229.7,282.3,242.8,132,505.8,618.4,592.8,Surface
280.75,241.0625,323.125,277.5625,154.625,720.0625,901.6875,856.625,Surface
278.7647059,237.4117647,293.7058824,267.4705882,152.7058824,488.0588235,546.7647059,511.3529412,Surface
285.1666667,246.6666667,304.3333333,270.8333333,158.5,533.1666667,660.5,612.1666667,Surface
284.1666667,244,307.1666667,276.9166667,156.9166667,504.6666667,548.3333333,525.0833333,Surface
278.7777778,231.8888889,289.6666667,246,127.6666667,559.8888889,729,651,Surface
282.125,242.125,311.875,278.5,153.375,588.75,677.625,676.625,Surface
277.5454545,236.9090909,294.1818182,257.3636364,144.9090909,525.9090909,652.0909091,609.0909091,Surface
